Название вакансии,Компания,Опыт
Инженер по тестированию,Ozon Информационные технологии,Опыт 1-3 года
Стажёр-тестировщик (функциональное тестирование),ООО Точка Качества,Без опыта
Специалист по тестированию,Яндекс Крауд: Качество продуктов,Опыт 1-3 года
Тестировщик-стажер,Власкин Кирилл Валерьевич,Без опыта
Младший инженер-тестировщик,ИП Николаев Сергей Владимирович,Без опыта
Тестировщик техники,ИП Николаев Сергей Владимирович,Без опыта
QA Engineer,Nexign (АО Нэксайн),Опыт 3-6 лет
Middle QA инженер,ГК Innostage,Опыт 3-6 лет
Тестировщик Java/AQA Java с нуля (стажер),Aston,Без опыта
Аналитик - тестировщик цифровых проектов Управления разработки ПО и развития информационных систем,АНО Платформа электоральных технологий,Без опыта
Тестировщик - QA Engineer (Middle),BIV,Опыт 1-3 года
Напарник техника на тестирование техники,testPRO,Без опыта
Технический писатель в ИТ,ООО Data Armor,Без опыта
Специалист по тестированию (Тестировщик),ООО Системы документооборота,Без опыта
QA Engineer Java / Инженер-тестировщик Java (ученик),Aston,Без опыта
Ведущий аналитик в области информационных систем (middle/senior),ООО Парадокс,Опыт 3-6 лет
Mobile QA Engineer (Middle+),ООО БПМСОФТ,Опыт 3-6 лет
"Junior backend разработчик Node.js , JavaScript",Облачная платформа Cenix.pro,Опыт 1-3 года
Руководитель проектов (Custom Solutions),Haulmont,Опыт 3-6 лет
Backend PHP-разработчик,ИП Халимова Зарган Гехаевна,Опыт 1-3 года
Специалист по тестированию ПО (офис),НПК Финист-софт,Опыт 3-6 лет
Старший /Ведущий Инженер АСУ ТП (тестирование контроллеров),"АО ИНКОМСИСТЕМ, НИЦ",Опыт 3-6 лет
QA-Тестировщик,Алабуга. Служба стратегического развития,Опыт 3-6 лет
Senior/Middle+ Java / Spring Boot Engineer,ООО Аддамант,Опыт 3-6 лет
Инженер по тестированию и технической поддержке (3-й линия),Центральный банк Российской Федерации (Банк России),Опыт 1-3 года
Тестировщик (auto Java),Центральный банк Российской Федерации (Банк России),Опыт 1-3 года
"Аналитик, Склад, Разработка аппаратных проектов",Ozon Информационные технологии,Опыт 1-3 года
Тестировщик встроенных систем (Embedded tester),Алабуга. Проектный менеджмент,Опыт 1-3 года
Senior системный аналитик,ООО Линсофтверпродакшн,Опыт более 6 лет
Middle system analyst (Web),ООО Совкомбанк Технологии,Опыт 1-3 года
